Timestamp                       Thread     Type        Activity             PID    TTL  
2025-07-02 13:05:28.708257+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x119c22ef0> windowNumber=31b from group
2025-07-02 13:05:28.708281+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e add <NativeWidgetMacNSWindow: 0x119c22ef0> windowNumber=31b to group
2025-07-02 13:05:28.709144+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x119c22ef0> windowNumber=31b from group
2025-07-02 13:05:55.732785+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x134193460> windowNumber=31d from group
2025-07-02 13:05:55.732822+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e add <NativeWidgetMacNSWindow: 0x134193460> windowNumber=31d to group
2025-07-02 13:05:55.733896+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x134193460> windowNumber=31d from group
2025-07-02 13:05:55.872625+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x119c394b0> windowNumber=31e from group
2025-07-02 13:05:55.872668+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e add <NativeWidgetMacNSWindow: 0x119c394b0> windowNumber=31e to group
2025-07-02 13:05:55.873570+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x119c394b0> windowNumber=31e from group
2025-07-02 13:05:56.127289+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x134193460> windowNumber=31f from group
2025-07-02 13:05:56.127325+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e add <NativeWidgetMacNSWindow: 0x134193460> windowNumber=31f to group
2025-07-02 13:05:56.128401+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x134193460> windowNumber=31f from group
2025-07-02 13:05:56.398505+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x119816f70> windowNumber=320 from group
2025-07-02 13:05:56.398542+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e add <NativeWidgetMacNSWindow: 0x119816f70> windowNumber=320 to group
2025-07-02 13:05:56.399639+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x119816f70> windowNumber=320 from group
2025-07-02 13:05:56.548871+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x119c39190> windowNumber=321 from group
2025-07-02 13:05:56.548902+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e add <NativeWidgetMacNSWindow: 0x119c39190> windowNumber=321 to group
2025-07-02 13:05:56.549826+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x119c39190> windowNumber=321 from group
2025-07-02 13:05:56.790354+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x119c39190> windowNumber=322 from group
2025-07-02 13:05:56.790389+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e add <NativeWidgetMacNSWindow: 0x119c39190> windowNumber=322 to group
2025-07-02 13:05:56.791372+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x119c39190> windowNumber=322 from group
2025-07-02 13:05:57.026640+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x119c38ee0> windowNumber=323 from group
2025-07-02 13:05:57.026677+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e add <NativeWidgetMacNSWindow: 0x119c38ee0> windowNumber=323 to group
2025-07-02 13:05:57.027735+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x119c38ee0> windowNumber=323 from group
2025-07-02 13:05:57.648016+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x119c1cec0> windowNumber=324 from group
2025-07-02 13:05:57.648052+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e add <NativeWidgetMacNSWindow: 0x119c1cec0> windowNumber=324 to group
2025-07-02 13:05:57.649161+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x119c1cec0> windowNumber=324 from group
2025-07-02 13:05:57.899273+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x119816f70> windowNumber=325 from group
2025-07-02 13:05:57.899308+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e add <NativeWidgetMacNSWindow: 0x119816f70> windowNumber=325 to group
2025-07-02 13:05:57.900308+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x119816f70> windowNumber=325 from group
2025-07-02 13:05:58.458006+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x134192f90> windowNumber=326 from group
2025-07-02 13:05:58.458046+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e add <NativeWidgetMacNSWindow: 0x134192f90> windowNumber=326 to group
2025-07-02 13:05:58.459089+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x134192f90> windowNumber=326 from group
2025-07-02 13:05:58.596198+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x1336cc500> windowNumber=327 from group
2025-07-02 13:05:58.596233+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e add <NativeWidgetMacNSWindow: 0x1336cc500> windowNumber=327 to group
2025-07-02 13:05:58.598240+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x1336cc500> windowNumber=327 from group
2025-07-02 13:05:58.708082+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x13368c030> windowNumber=328 from group
2025-07-02 13:05:58.708116+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e add <NativeWidgetMacNSWindow: 0x13368c030> windowNumber=328 to group
2025-07-02 13:05:58.709139+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x13368c030> windowNumber=328 from group
2025-07-02 13:07:57.513103+0100 0x1b57c    Default     0x4af81              184    0    tccd: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=3821.1, attribution={responsible={TCCDProcess: identifier=com.microsoft.VSCode, pid=1299, auid=501, euid=501, responsible_path=/private/var/folders/k0/z4b24qxd2p1ft7ddw7rm_6lr0000gn/T/AppTranslocation/B96E7852-1A69-47E3-9F1E-EEAA1ADFE357/d/Visual Studio Code.app/Contents/MacOS/Electron, binary_path=/private/var/folders/k0/z4b24qxd2p1ft7ddw7rm_6lr0000gn/T/AppTranslocation/B96E7852-1A69-47E3-9F1E-EEAA1ADFE357/d/Visual Studio Code.app/Contents/MacOS/Electron}, requesting={TCCDProcess: identifier=com.apple.appkit.xpc.ThemeWidgetControlViewService, pid=3821, auid=501, euid=501, binary_path=/System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/ThemeWidgetControlViewService.xpc/Contents/MacOS/ThemeWidgetControlViewService}, },
2025-07-02 13:07:57.556283+0100 0x1b57c    Default     0x4a426              184    0    tccd: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=183.220, attribution={responsible={TCCDProcess: identifier=com.microsoft.VSCode, pid=1299, auid=501, euid=501, responsible_path=/private/var/folders/k0/z4b24qxd2p1ft7ddw7rm_6lr0000gn/T/AppTranslocation/B96E7852-1A69-47E3-9F1E-EEAA1ADFE357/d/Visual Studio Code.app/Contents/MacOS/Electron, binary_path=/private/var/folders/k0/z4b24qxd2p1ft7ddw7rm_6lr0000gn/T/AppTranslocation/B96E7852-1A69-47E3-9F1E-EEAA1ADFE357/d/Visual Studio Code.app/Contents/MacOS/Electron}, accessing={TCCDProcess: identifier=com.apple.appkit.xpc.ThemeWidgetControlViewService, pid=3821, auid=501, euid=501, binary_path=/System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/ThemeWidgetControlViewService.xpc/Contents/MacOS/ThemeWidgetControlViewService}, requesting={TCCDProcess: identifier=com.apple.WindowServer, pid=183, auid=88, euid=88, binary_path=/System/Library/PrivateFrameworks/SkyLight.framework/Versions/A/Resources/WindowServer}, },
2025-07-02 13:07:58.187848+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NSToolbarFullScreenWindow: 0x119c45d60> windowNumber=35d from group
